dataset/fire_1720/JPEGImages/rBOilFi-co-APEXtAAKWRzH5Udg940.jpg,245,673,542,914,fire
dataset/fire_1720/JPEGImages/rBOilFi-co2AG8ORAAEsFCGfu_g413.jpg,253,54,374,250,fire
dataset/fire_1720/JPEGImages/rBOilFi-co2AYN0cAAD5NvOv0T0709.jpg,766,189,1028,522,fire
dataset/fire_1720/JPEGImages/rBOilFi-coyAGZ_9AADUqms5IEY130.jpg,237,103,386,296,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpCAN_qJAAErWbeIEWw808.jpg,83,28,429,290,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpCAN_qJAAErWbeIEWw808.jpg,81,289,355,399,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpCAYDofAAGcI8y2PeY937.jpg,492,346,558,406,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpGAI6FQAAFvwM3D08Q409.jpg,900,235,950,292,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpiALyPIAAAjNnYYlS0975.jpg,127,48,169,122,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpiAPqaMAAAXxy7gLLE944.jpg,60,66,83,96,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpKABexyAADc8KeQI0o093.jpg,240,254,323,367,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpKACOgAAACABf4oHCA204.jpg,158,57,555,263,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpKAJbmbAAB7SXPF0fc372.jpg,4,10,115,117,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpKAJbmbAAB7SXPF0fc372.jpg,187,37,285,170,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpKAKqlqAAA0nqWWBdE151.jpg,264,200,397,280,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpKAZXYwAAAwAWLaKPM260.jpg,137,0,218,88,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpmAY2LOAAAfONKGKsM556.jpg,62,159,122,229,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpqASJVSAAAnS2NgB9k736.jpg,88,87,118,138,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpSAEBvyAADEho3hjyg638.jpg,207,127,336,420,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpSAfez3AAAiau9lJJc643.jpg,68,71,130,117,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpSAJ-xVAAAb3AnE-BU623.jpg,48,65,131,96,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpSAZgYpAAFOcE-MS0M645.jpg,739,359,901,402,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpuAeXfKAAFDNmi6Npc988.jpg,251,34,520,441,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpuAGspWAAAoi634YpM208.jpg,76,51,151,121,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpuAKeD7AAAcFqQtCE0936.jpg,65,70,143,130,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpWAEcULAAAU252CCzg914.jpg,85,43,116,75,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpWAJVlvAABsq9MYYss129.jpg,185,145,317,226,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpWAMxjFAABpRbfGzDA249.jpg,235,150,313,192,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpWAOs0eAAAoOby094U102.jpg,100,69,146,104,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpyADe7BAAAmgYTsVhQ593.jpg,29,137,72,166,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpyAH3UBAAAYLWir6w0140.jpg,111,46,152,140,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpyAPlMxAAAc2dAgGi0578.jpg,54,76,112,193,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpyARjSTAABFuxqcT8E925.jpg,98,109,136,154,fire
dataset/fire_1720/JPEGImages/rBOilFi-cpyAZ4ywAAEVJnppt1s147.jpg,510,154,744,460,fire
dataset/fire_1720/JPEGImages/rBOilFi-gM-ACFT0AATwAd3qVwc368.jpg,551,677,731,809,fire
dataset/fire_1720/JPEGImages/rBOilFi-gM-ADbLWAATXj3ZHj8c150.jpg,100,18,618,276,fire
dataset/fire_1720/JPEGImages/rBOilFi-gM-AV-EsAAT7ZjRnI9s867.jpg,688,24,1200,714,fire
dataset/fire_1720/JPEGImages/rBOilFi-gM-AWTTrAATjP-K93Ho279.jpg,35,436,522,597,fire
dataset/fire_1720/JPEGImages/rBOilFi-gM2ANlklAAkoCVGDvc8456.jpg,37,1043,392,1176,fire
dataset/fire_1720/JPEGImages/rBOilFi-gM2ANlklAAkoCVGDvc8456.jpg,668,4,1374,563,fire
dataset/fire_1720/JPEGImages/rBOilFi-gM2ANlklAAkoCVGDvc8456.jpg,604,794,1287,1105,fire
dataset/fire_1720/JPEGImages/rBOilFi-gM2ATKRdAA0GUi7iZ9k888.jpg,20,27,3279,1385,fire
